"countryname","deaths.1000.live.births","region"
"afghanistan",101.3,"South Asia"
"somalia",83.6,"Africa"
"central-african-republic",80.5,"Africa"
"equatorial-guinea",77.4,"Africa"
"sierra-leone",71.2,"Africa"
"niger",64.3,"Africa"
"chad",62.5,"Africa"
"south-sudan",60.1,"Africa"
"mozambique",58.2,"Africa"
"mali",57.4,"Africa"
"congo-democratic-republic-of-the",57.4,"Africa"
"liberia",55.7,"Africa"
"angola",55.6,"Africa"
"comoros",54.9,"Africa"
"nigeria",53.7,"Africa"
"benin",52.9,"Africa"
"cote-divoire",52.5,"Africa"
"pakistan",51.5,"South Asia"
"mauritania",48.9,"Africa"
"burkina-faso",47,"Africa"
"guinea",47,"Africa"
"guinea-bissau",46.4,"Africa"
"cameroon",46.1,"Africa"
"lesotho",45.7,"Africa"
"djibouti",45.2,"Africa"
"yemen",44.6,"Middle East"
"sao-tome-and-principe",42.6,"Africa"
"sudan",40.6,"Africa"
"eritrea",39.8,"Africa"
"togo",38.4,"Africa"
"madagascar",37.5,"Africa"
"haiti",36.8,"Central America and the Caribbean"
"eswatini",36.7,"Africa"
"turkmenistan",35.9,"Central Asia"
"gambia-the",35.7,"Africa"
"burundi",35.7,"Africa"
"zambia",35.6,"Africa"
"laos",35.4,"East and Southeast Asia"
"zimbabwe",33.4,"Africa"
"ethiopia",32.6,"Africa"
"timor-leste",32.2,"East and Southeast Asia"
"burma",32.1,"East and Southeast Asia"
"papua-new-guinea",32,"East and Southeast Asia"
"malawi",31.9,"Africa"
"kiribati",31.5,"Australia and Oceania"
"ghana",31.2,"Africa"
"senegal",31.1,"Africa"
"congo-republic-of-the",30.6,"Africa"
"india",30.4,"South Asia"
"suriname",29.6,"South America"
"tanzania",29.6,"Africa"
"bangladesh",28.8,"South Asia"
"uganda",28.5,"Africa"
"cambodia",27.9,"East and Southeast Asia"
"namibia",27.9,"Africa"
"tuvalu",27.8,"Australia and Oceania"
"gabon",26.9,"Africa"
"kenya",26.1,"Africa"
"guatemala",25,"Central America and the Caribbean"
"rwanda",24.9,"Africa"
"kyrgyzstan",24.5,"Central Asia"
"maldives",24.4,"South Asia"
"bhutan",24.3,"South Asia"
"nepal",24,"South Asia"
"botswana",23.7,"Africa"
"kosovo",22.9,"Europe"
"cabo-verde",22.4,"Africa"
"bolivia",22.3,"South America"
"philippines",22,"East and Southeast Asia"
"paraguay",22,"South America"
"south-africa",21.9,"Africa"
"georgia",21.7,"Central Asia"
"tajikistan",21.7,"Central Asia"
"dominican-republic",21.7,"Central America and the Caribbean"
"guyana",21.1,"South America"
"micronesia-federated-states-of",20.9,"Australia and Oceania"
"marshall-islands",20.6,"Australia and Oceania"
"mongolia",19.4,"East and Southeast Asia"
"solomon-islands",19.1,"Australia and Oceania"
"indonesia",18.9,"East and Southeast Asia"
"iraq",18.7,"Middle East"
"algeria",18.7,"Africa"
"turkey-turkiye",18.4,"Middle East"
"morocco",18.3,"Africa"
"uzbekistan",18.2,"Central Asia"
"saint-helena-ascension-and-tristan-da-cunha",18.1,"Africa"
"samoa",17.3,"Australia and Oceania"
"egypt",16.8,"Africa"
"korea-north",15.4,"East and Southeast Asia"
"honduras",15.4,"Central America and the Caribbean"
"gaza-strip",15.1,"Middle East"
"syria",15.1,"Middle East"
"west-bank",15.1,"Middle East"
"trinidad-and-tobago",15.1,"Central America and the Caribbean"
"cook-islands",15.1,"Australia and Oceania"
"nicaragua",14.4,"Central America and the Caribbean"
"iran",14.3,"Middle East"
"panama",14.2,"Central America and the Caribbean"
"vietnam",14.1,"East and Southeast Asia"
"oman",13.9,"Middle East"
"venezuela",13.9,"South America"
"moldova",13.8,"Europe"
"vanuatu",13.7,"Australia and Oceania"
"antigua-and-barbuda",13.6,"Central America and the Caribbean"
"british-virgin-islands",13.4,"Central America and the Caribbean"
"jordan",13.2,"Middle East"
"brazil",12.9,"South America"
"saint-vincent-and-the-grenadines",12.3,"Central America and the Caribbean"
"mexico",12.1,"North America"
"northern-mariana-islands",11.9,"Australia and Oceania"
"tonga",11.8,"Australia and Oceania"
"el-salvador",11.7,"Central America and the Caribbean"
"saudi-arabia",11.7,"Middle East"
"colombia",11.7,"South America"
"armenia",11.6,"Central Asia"
"mauritius",11.6,"Africa"
"aruba",11.5,"Central America and the Caribbean"
"saint-lucia",11.5,"Central America and the Caribbean"
"tunisia",11.3,"Africa"
"belize",11.3,"Central America and the Caribbean"
"ecuador",11.2,"South America"
"turks-and-caicos-islands",11.1,"Central America and the Caribbean"
"azerbaijan",10.9,"Central Asia"
"guam",10.9,"Australia and Oceania"
"peru",10.8,"South America"
"palau",10.8,"Australia and Oceania"
"dominica",10.7,"Central America and the Caribbean"
"libya",10.7,"Africa"
"jamaica",10.7,"Central America and the Caribbean"
"albania",10.3,"Europe"
"seychelles",10.2,"Africa"
"brunei",10,"East and Southeast Asia"
"fiji",9.7,"Australia and Oceania"
"montserrat",9.7,"Central America and the Caribbean"
"bahrain",9.7,"Middle East"
"american-samoa",9.7,"Australia and Oceania"
"barbados",9.6,"Central America and the Caribbean"
"bahamas-the",9.4,"Central America and the Caribbean"
"grenada",9,"Central America and the Caribbean"
"argentina",9,"South America"
"ukraine",8.7,"Europe"
"greenland",8.5,"North America"
"croatia",8.4,"Europe"
"cyprus",8.1,"Europe"
"uruguay",8,"South America"
"kazakhstan",8,"Central Asia"
"saint-kitts-and-nevis",8,"Central America and the Caribbean"
"saint-pierre-and-miquelon",7.8,"North America"
"bulgaria",7.7,"Europe"
"sint-maarten",7.6,"Central America and the Caribbean"
"nauru",7.6,"Australia and Oceania"
"curacao",7.5,"Central America and the Caribbean"
"virgin-islands",7.3,"Central America and the Caribbean"
"cayman-islands",7.3,"Central America and the Caribbean"
"kuwait",7.2,"Middle East"
"north-macedonia",7,"Europe"
"sri-lanka",6.8,"South Asia"
"costa-rica",6.7,"Central America and the Caribbean"
"lebanon",6.7,"Middle East"
"saint-martin",6.5,"Central America and the Caribbean"
"saint-barthelemy",6.5,"Central America and the Caribbean"
"russia",6.5,"Central Asia"
"qatar",6.4,"Middle East"
"malaysia",6.4,"East and Southeast Asia"
"thailand",6.3,"East and Southeast Asia"
"chile",6.3,"South America"
"china",6.2,"East and Southeast Asia"
"san-marino",6.2,"Europe"
"gibraltar",6,"Europe"
"puerto-rico",5.8,"Central America and the Caribbean"
"faroe-islands",5.7,"Europe"
"romania",5.5,"Europe"
"united-states",5.1,"North America"
"slovakia",5.1,"Europe"
"united-arab-emirates",5,"Middle East"
"bosnia-and-herzegovina",5,"Europe"
"poland",4.9,"Europe"
"new-caledonia",4.8,"Australia and Oceania"
"latvia",4.7,"Europe"
"hungary",4.7,"Europe"
"serbia",4.5,"Europe"
"malta",4.4,"Europe"
"macau",4.4,"East and Southeast Asia"
"french-polynesia",4.3,"Australia and Oceania"
"canada",4.3,"North America"
"isle-of-man",4.1,"Europe"
"cuba",4,"Central America and the Caribbean"
"wallis-and-futuna",3.9,"Australia and Oceania"
"liechtenstein",3.9,"Europe"
"united-kingdom",3.8,"Europe"
"taiwan",3.8,"East and Southeast Asia"
"jersey",3.7,"Europe"
"lithuania",3.6,"Europe"
"netherlands",3.6,"Europe"
"greece",3.4,"Europe"
"estonia",3.3,"Europe"
"guernsey",3.3,"Europe"
"ireland",3.3,"Europe"
"new-zealand",3.3,"Australia and Oceania"
"andorra",3.3,"Europe"
"austria",3.2,"Europe"
"montenegro",3.2,"Europe"
"luxembourg",3.2,"Europe"
"france",3.1,"Europe"
"belgium",3.1,"Europe"
"germany",3.1,"Europe"
"italy",3.1,"Europe"
"anguilla",3,"Central America and the Caribbean"
"switzerland",3,"Europe"
"denmark",3,"Europe"
"australia",2.9,"Australia and Oceania"
"korea-south",2.8,"East and Southeast Asia"
"israel",2.8,"Middle East"
"czechia",2.6,"Europe"
"hong-kong",2.5,"East and Southeast Asia"
"portugal",2.4,"Europe"
"spain",2.4,"Europe"
"sweden",2.3,"Europe"
"belarus",2.1,"Europe"
"bermuda",2.1,"North America"
"finland",2.1,"Europe"
"japan",1.9,"East and Southeast Asia"
"norway",1.8,"Europe"
"monaco",1.7,"Europe"
"iceland",1.6,"Europe"
"singapore",1.5,"East and Southeast Asia"
"slovenia",1.5,"Europe"
